code,name_en,name_tc,address_en,address_tc,telephone,hours_en,hours_tc,lat,lng,district,district_tc,sub_district,sub_district_tc,type,bizTypeCode,cold_chain
H852FE92P,"SF Locker G/F of Clubhouse 1, The Entrance",自助櫃 馬鞍山峻源一號會所地下,"G/F of Clubhouse 1, The Entrance, Ma On Shan (Residents only)*",香港馬鞍山峻源一號會所地下(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.429533,114.247792,Sha Tin District,沙田區,Ma On Shan,馬鞍山,locker,"3,7,6,5",false
H852FE93P,"SF Locker G/F of Clubhouse 2, The Entrance",自助櫃 馬鞍山峻源二號會所地下,"G/F of Clubhouse 2, The Entrance, Ma On Shan (Residents only)*",香港馬鞍山峻源二號會所地下(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.429501,114.247026,Sha Tin District,沙田區,Ma On Shan,馬鞍山,locker,"3,7,6,5",false
H852FE94P,"SF Locker MOSTown Street, Ma On Shan",自助櫃 馬鞍山新港城中心大街(順豐站),"Shop No. G-3/68B, G/F, MOSTown Street, Ma On Shan *",馬鞍山新港城中心大街地下G3/68B鋪(順豐站)*,,11:00-21:00,11:00-21:00 周六:12:00-20:00 周日:12:00-20:00 節假日:12:00-20:00,22.422124,114.231904,Sha Tin District,沙田區,Ma On Shan,馬鞍山,locker,"3,6,7",false
H852FE95P,"SF Locker Kwong Yuen Shopping Centre, Sha Tin",自助櫃 沙田廣源商場,"1/F, Block 2, Kwong Yuen Shopping Centre, Sha Tin*",沙田廣源商場2座1樓(近髮廊與八方雲集)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.380868,114.21503,Sha Tin District,沙田區,Siu Lek Yuen,小瀝源,locker,"3,7,6,5",false
H852FE96P,"Kam Ying Court, Ma On Shan",自助櫃 馬鞍山錦英苑,"Bus Terminus (Near Car Park Entrance of Kam Ying Court), Kam Ying Court, Ma On Shan*",香港馬鞍山錦英苑巴士總站近商場停車場出口*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.42352,114.236904,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FE97P,"University Station, Sha Tin",自助櫃 沙田大學站,"Bus Terminus (Near Staff Rest Room), University Station, Sha Tin*",馬料水大學站巴士總站(九巴員工休息室旁)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.412728,114.210286,Sha Tin District,沙田區,Kau To Shan,九肚山,station,"3,5,6,7",false
H852FE99P,"SF Locker  Lake Silver, Ma On Shan",自助櫃 馬鞍山銀湖天峰,"Next to Management Office, 2/F, Lake Silver, Ma On Shan (Residents only)*",香港馬鞍山銀湖天峰2樓管理處側供住戶使用*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.428096,114.244746,Sha Tin District,沙田區,Ma On Shan,馬鞍山,locker,"3,5,6,7",false
H852FEA1P,"Chevalier Garden, Ma On Shan",自助櫃 馬鞍山富安花園,"Bus Terminus (Near Staff Rest Room), Chevalier Garden, Ma On Shan*",香港馬鞍山富安花園巴士總站九巴員工休息室旁*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.40554,114.224178,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEA2P,"Next to Control Room, Podium, Fok On Garden",自助櫃 馬鞍山福安花園商場平台,"Next to Control Room, Podium, Fok On Garden, Ma On Shan *",香港馬鞍山福安花園商場平台控制室旁*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.425,114.229,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEA3P,"Symphony Bay Villa Rhapsody, Ma On Shan",自助櫃 馬鞍山帝琴灣凱琴居,"Outside of Clubehouse, G/F, Block 18, Symphony Bay Villa Rhapsody, Ma On Shan(Residents only)*",馬鞍山帝琴灣凱琴居地下會所外(只供住戶使用)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.429352,114.251861,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEA4P,"Sai Keng Tsuen, Sai Kung",自助櫃 西貢西徑村,"G/F, 32 Sai Keng Tsuen, Sai Kung*",西貢西徑村32F地下 (西徑士多)*,,00:00-23:59,00:00-23:59 周六:00:00-23:59 周日:00:00-23:59 節假日:00:00-23:59,22.419065,114.266778,Sai Kung District,西貢區,Sai Kung,西貢,partner,"3,6,7",false
H852FEA5P,"Locker No.1, Shop 15, G/F, Double Cove Place, Ma On Shan ",自助櫃 馬鞍山迎海薈地下(一號櫃),"Locker No.1, Shop 15, G/F, Double Cove Place, Ma On Shan *",馬鞍山迎海薈地下15號鋪一號櫃(入門口最左邊)*,,00:00-23:59,00:00-23:59,22.430114,114.243262,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEA6P,"Locker No.2, Shop 15, G/F, Double Cove Place, Ma On Shan ",自助櫃 馬鞍山迎海薈地下(二號櫃),"Locker No.2, Shop 15, G/F, Double Cove Place, Ma On Shan *",馬鞍山迎海薈地下15號鋪二號櫃(入門口正向第一排)*,,00:00-23:59,00:00-23:59,22.430114,114.243262,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEA7P,"Locker No.3, Shop 15, G/F, Double Cove Place, Ma On Shan ",自助櫃 馬鞍山迎海薈地下(三號櫃),"Locker No.3, Shop 15, G/F, Double Cove Place, Ma On Shan *",馬鞍山迎海薈地下15號鋪三號櫃(入門口正向第二排)*,,00:00-23:59,00:00-23:59,22.430114,114.243262,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEA8P,"Locker No.4, Shop 15, G/F, Double Cove Place, Ma On Shan ",自助櫃 馬鞍山迎海薈地下(四號櫃),"Locker No.4, Shop 15, G/F, Double Cove Place, Ma On Shan *",馬鞍山迎海薈地下15號鋪四號櫃(入門口正向第三排)*,,00:00-23:59,00:00-23:59,22.430114,114.243262,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEA9P,"Locker No.5, Shop 15, G/F, Double Cove Place, Ma On Shan ",自助櫃 馬鞍山迎海薈地下(五號櫃),"Locker No.5, Shop 15, G/F, Double Cove Place, Ma On Shan *",馬鞍山迎海薈地下15號鋪五號櫃(入門口正向第四排)*,,00:00-23:59,00:00-23:59,22.430114,114.243262,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
H852FEB1P,"Locker No.6, Shop 15, G/F, Double Cove Place, Ma On Shan ",自助櫃 馬鞍山迎海薈地下(六號櫃),"Locker No.6, Shop 15, G/F, Double Cove Place, Ma On Shan *",馬鞍山迎海薈地下15號鋪六號櫃(入門口最右邊)*,,00:00-23:59,00:00-23:59,22.430114,114.243262,Sha Tin District,沙田區,Ma On Shan,馬鞍山,station,"3,5,6,7",false
